MasterSite,TRANSECT,QUADRAT,PACK_COV,COMP_COV,INVASIVE_COV,NECTAR_COV,OPENSOIL_COV,ROCKS_COV ,BRYO_COV,SLOPE_DEG,ASPECT,SOILDEPTH1,SOILDEPTH2,SOILDEPTH3 ,SOILDEPTH4 ,SOILDEPTH5,CANOPY_OPENNESS%,TRANS_TOTALLIGHT,40S_HYDROMETER ,120M_HYDROMETER ,SAND%,SILT%,CLAY%,OM%,YELLOW_OAK ,OTHER_OAK ,HICKORY,SUGAR_MAPLE,DOGWOOD,HOP_HORNBEAM,WITCH_HAZEL,SHADBUSH,BASSWOOD,HEMLOCK,CEDAR ,HONEYSUCKLE,ASH ,ASPEN ,TULIPTREE,IRONWOOD ,RED_MAPLE ,PAPER_BIRCH 
Kent1,1,4,0,40,15,25,30,5,NA,24,191,67,57,56,82,70,24.79,13.59,17,2.5,66,29,5,11.66,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kent1,1,2,5,30,1,0,60,2,NA,38,226,51,45,32,33,58,24.56,13.94,NA,NA,NA,NA,NA,NA,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kent1,1,3,25,10,1,0,60,0,NA,28,221,63,38,63,64,47,40.09,27.28,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Kent1,1,1,80,20,1,3,2,0,NA,26,231,14,0,0,6,0,17.88,13.34,13.5,2,73,23,4,10.45,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kent1,3,1,70,10,0,0,2,0,1,28,2,28,28,38,54,40,49.76,15.74,17,2.5,66,29,5,13.61,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kent1,3,2,2,5,0,0,1,0,80,34,8,0,39,51,51,62,54.72,20.66,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kent1,3,3,15,10,0,0,10,3,0,38,27,47,59,71,73,70,63.2,19.34,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Kent1,3,4,0.5,3,2,0,2,0,1,27,358,64,57,49,55,35,68.33,31.18,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Kent1,2,4,3,35,2,1,60,2,0,34,215,62,60,54,61,48,28.92,14.66,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kent1,2,1,10,40,2,1,50,0,0,32,224,70,66,56,65,50,29.42,18.55,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kent1,2,2,30,15,1,1,60,1,3,30,221,84,69,73,61,63,36.51,23.59,11,0.5,78,21,1,7.12,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kent1,2,3,0,50,5,2,50,3,1,43,214,49,66,57,64,26,20.37,9.18,12.5,3,75,19,6,8.02,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kent2,4,2,20,25,5,0,2,0,0.5,12,218,0,40,8,0,18,11.9,9.64,12.5,0.5,75,24,1,13.25,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
Kent2,4,1,15,50,7,0,5,3,2,30,250,29,68,42,43,54,10.72,6.99,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Kent2,4,4,0,75,3,0,0,0,1,26,299,46,45,37,47,57,14.71,9.89,10,1,80,18,2,10.28,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Kent2,4,3,1,40,2,0,0,0,3,14,178,43,32,32,27,41,20.82,9.28,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
Kent2,5,1,40,20,1,0,0,0,2,15,326,66,59,64,61,60,18.54,7.76,10,3,80,14,6,20.31,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Kent2,5,4,0,7,1,2,50,0,10,20,291,36,58,45,60,68,24.37,12.38,8,2,84,12,4,5.15,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Kent2,5,3,7,25,2,1,3,0,50,17,297,39,45,14,45,32,18.45,7.21,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Kent2,5,2,5,15,7,3,7,0,5,9,357,49,28,23,11,16,18.62,12.05,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Kent2,6,4,5,75,5,0,1,0,50,50,296,57,56,52,55,62,22.88,12.51,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Kent2,6,1,0,80,5,0,1,0,50,41,275,59,45,67,20,16,19.32,11.31,9,1.5,82,15,3,9.09,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
Kent2,6,2,10,15,1,0,5,0,30,36,302,32,9,6,0,0,11.41,4.89,10.5,2.5,79,16,5,11.36,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Kent2,6,3,3,40,1,0,2,0,7,41,291,44,32,45,34,33,13.78,5.08,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Kent2,7,1,50,30,15,0,2,0,1,32,293,83,64,54,61,60,23.06,11.41,12,3,76,18,6,18.55,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Kent2,7,3,0,25,1,0,0,0,1,20,288,15,34,17,28,35,23.69,14,22,4.5,56,35,9,8.38,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Kent2,7,2,25,20,1,0,15,10,40,41,275,44,56,76,34,88,22.41,14.13,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Kent2,7,4,5,15,0.5,0,0,0,90,24,280,56,72,53,70,70,23.02,11.01,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Kent2,8,4,0,40,0,0,7,0,2,16,321,51,38,53,77,55,20.67,13.04,14,2.5,72,23,5,12.36,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
Kent2,8,1,50,30,0,0,0,0,1,12,260,52,49,61,57,39,17.59,9.28,11,2.5,78,17,5,15.32,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Kent2,8,2,7,5,1,0,0,0,3,15,328,0,22,31,14,16,11.59,7.43,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
Kent2,8,3,15,3,1,0,1,1,1,13,334,26,38,23,44,25,16.04,8.81,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Kent2,9,1,90,7,3,0,0,0,3,6,118,68,61,51,61,80,12.34,10.44,17,3,66,28,6,14.62,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Kent2,9,2,7,7,0,0,2,0,25,22,306,72,47,53,56,65,19.2,11.49,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
Kent2,9,3,2,25,0,0,0,0,90,22,318,79,66,84,0,78,13.18,7.08,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Kent2,9,4,0,15,0,0,25,10,7,54,287,79,80,85,69,85,19.92,14.83,9,2.5,82,13,5,25.27,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0
Kent3,11,1,15,25,3,10,50,0,1,12,294,34,35,38,41,35,31.67,21.55,17,2.5,66,29,5,13.56,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Kent3,11,2,15,95,1,1,0,0,5,28,358,62,81,59,31,55,24.86,9.02,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Kent3,11,3,3,90,15,0,0,0,0,13,340,79,62,73,78,52,19.46,8.36,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kent3,11,4,0,30,3,0,0,0,2,22,316,70,46,77,42,68,27.21,13.25,11,2.5,78,17,5,11,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Kent3,10,1,40,10,2,0,10,0,50,20,307,39,30,47,61,49,22.09,11.98,15,3.5,70,23,7,7.82,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Kent3,10,3,15,25,3,1,30,0,15,19,350,77,30,63,72,78,24.52,9.84,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kent3,10,2,3,30,1,1,15,0,0,18,294,41,54,33,57,50,32.53,13.97,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kent3,10,4,0,75,0,1,10,0,3,21,284,46,49,48,77,57,53.71,32.54,13,1,74,24,2,6.62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kent3,12,1,20,15,0,0,25,0,0,6,263,71,60,46,54,48,31.6,21.15,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kent3,12,2,25,3,2,0,60,0,5,14,222,23,31,26,22,29,19.06,7.59,20,4,60,32,8,8.12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Kent3,12,3,0,70,0,0,10,0,1,27,297,44,44,52,38,46,23.53,12.61,11,0.5,78,21,1,10.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kent3,12,4,7,80,10,0,15,0,10,12,288,0,77,58,67,78,66.67,35.9,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0